Date,Stock Price,Option Price,Implied Volatility,Delta Value,Cumulative Hedging Error,Daily Hedging Error,PNL without Hedging
2011-07-05,532.44,44.2,0.259689,0.722652,0,0,0
2011-07-06,535.36,46.9,0.269326,0.733324,-0.592425,-0.592425,-2.7
2011-07-07,546.6,55.3,0.26987,0.787569,-0.752469,-0.160044,-11.1
2011-07-08,531.99,43.95,0.26857,0.719392,-0.911842,-0.159374,0.25
2011-07-11,527.28,41,0.275942,0.691514,-1.35247,-0.440626,3.2
2011-07-12,534.01,46.4,0.286787,0.722768,-2.10077,-0.748306,-2.2
2011-07-13,538.26,49.3,0.287149,0.745049,-1.93145,0.169322,-5.1
2011-07-14,528.94,41.15,0.272165,0.70691,-0.727553,1.2039,3.05
2011-07-15,597.62,99.65,0.28147,0.940757,-10.679,-9.95141,-55.45
2011-07-18,594.94,97.65,0.300441,0.926426,-11.203,-0.524045,-53.45
2011-07-19,602.55,103.8,0.266184,0.960313,-10.3057,0.897339,-59.6
2011-07-20,595.35,97.8,0.299716,0.931919,-11.2232,-0.917527,-53.6
2011-07-21,606.99,108.15,0.27567,0.964256,-10.7292,0.494012,-63.95
2011-07-22,618.23,118.7,0.248421,0.985998,-10.4448,0.284364,-74.5
2011-07-25,618.98,119.95,0.294218,0.971598,-10.9593,-0.51448,-75.75
2011-07-26,622.52,123.25,0.286968,0.978583,-10.8238,0.13555,-79.05
2011-07-27,607.22,108.65,0.304792,0.957697,-11.2002,-0.376457,-64.45
2011-07-28,610.94,112.1,0.302677,0.964966,-11.0916,0.1086,-67.9
2011-07-29,603.69,106.8,0.370044,0.92471,-12.7917,-1.70008,-62.6
