Generated Stock Price,Option Price,Delta,Cumulative Hedging Error,Daily Hedging Error,PNL without Hedge
100,4.39167,0.428711,0,0,0
99.2228,4.03333,0.407628,0.0213319,0.0213319,0.358348
103.114,5.77992,0.507874,-0.142629,-0.163961,-1.38824
102.683,5.52734,0.496161,-0.113623,0.0290054,-1.13567
103.832,6.07792,0.525405,-0.098468,0.0151554,-1.68625
103.481,5.85813,0.515832,-0.0680905,0.0303775,-1.46646
106.414,7.44364,0.59032,-0.145317,-0.0772262,-3.05196
105.249,6.73514,0.56077,-0.130029,0.015288,-2.34347
104.877,6.49015,0.550893,-0.0991426,0.0308861,-2.09848
105.311,6.69376,0.561859,-0.0684932,0.0306494,-2.30208
107.104,7.70338,0.607292,-0.0761183,-0.00762507,-3.3117
109.597,9.25479,0.667489,-0.119111,-0.0429926,-4.86312
107.989,8.17323,0.629355,-0.117048,0.00206295,-3.78156
106.893,7.4592,0.601975,-0.0987548,0.0182931,-3.06752
105.956,6.86704,0.577645,-0.0764266,0.0223282,-2.47536
106.929,7.40187,0.602878,-0.0546033,0.0218233,-3.01019
107.262,7.56406,0.61146,-0.0219501,0.0326532,-3.17238
108.289,8.16573,0.637652,-0.001317,0.0206331,-3.77406
108.517,8.27173,0.643586,0.0319546,0.0332716,-3.88006
108.169,8.00907,0.635044,0.0645805,0.0326259,-3.6174
108.888,8.43209,0.653439,0.0923024,0.0277219,-4.04041
109.635,8.88708,0.672277,0.119367,0.027065,-4.49541
112.25,10.6866,0.733448,0.0712217,-0.0481457,-6.29498
110.489,9.38973,0.693914,0.0694395,-0.00178225,-4.99806
110.119,9.09436,0.685578,0.101701,0.0322613,-4.70269
110.405,9.25073,0.693098,0.134739,0.0330386,-4.85906
108.85,8.16075,0.654579,0.139735,0.00499599,-3.76908
110.156,8.99624,0.688193,0.152913,0.0131781,-4.60456
111.441,9.86029,0.719893,0.166736,0.0138221,-5.46862
111.338,9.74538,0.718263,0.200425,0.0336895,-5.35371
114.185,11.8437,0.781992,0.140193,-0.060232,-7.45201
114.104,11.7422,0.781493,0.170875,0.0306819,-7.35049
114.644,12.1294,0.793595,0.198173,0.0272981,-7.73776
117.151,14.1433,0.840721,0.166074,-0.0320994,-9.75163
119.791,16.3859,0.881777,0.134585,-0.0314885,-11.9942
121.63,18,0.905861,0.13276,-0.0018258,-13.6083
120.653,17.0912,0.895764,0.147895,0.0151359,-12.6995
